品牌,型号,屏幕（可选）,高,宽,对角线尺寸,子像素排列,,,,,,,,,,,,,
Apple,iPhone Duo,外屏,2034,1398,5.4,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone Duo,内屏,1878,2670,7.6,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 18 Pro Max,,2868,1320,6.9,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 18 Pro,,2622,1206,6.3,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone Air,,2736,1260,6.5,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 17 Pro Max,,2868,1320,6.9,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 17 Pro,,2622,1206,6.3,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 17,,2622,1206,6.3,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 17e,,2532,1170,6.1,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 16 Pro Max,,2868,1320,6.9,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 16 Pro,,2622,1206,6.3,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 16 Plus,,2796,1290,6.7,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 16,,2556,1179,6.1,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 16e,,2532,1170,6.1,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 15 Pro Max,,2796,1290,6.7,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 15 Pro,,2556,1179,6.1,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 15 Plus,,2796,1290,6.7,钻排（OLED PenTile）,,,,,,,,,,,,,
Apple,iPhone 15,,2556,1179,6.1,钻排（OLED PenTile）,,,,,,,,,,,,,
